date,open,high,low,close,volume
2024-08-16,1164.5059796712717,1168.1001094798687,1147.733211401699,1164.9552001953125,6107134
2024-08-19,1167.1017440309654,1169.3980579733616,1148.3322232652067,1151.3773193359375,6691823
2024-08-20,1156.1196316235685,1175.0887792926944,1152.7750957510625,1166.1033935546875,6721749
2024-08-21,1164.705537568418,1176.0870495188233,1159.6138438167345,1172.492919921875,9480630
2024-08-22,1177.7842156313006,1179.0821532872228,1167.051672745748,1168.050048828125,5841326
2024-08-23,1168.1001128413639,1172.0436499435734,1161.610667770023,1164.056640625,5121962
2024-08-26,1169.797287316781,1173.3415714014816,1164.2064052458907,1168.399658203125,3392612
2024-08-27,1168.1000558035714,1182.9259167528153,1162.3593931361609,1179.331787109375,8702113
2024-08-28,1175.088686152465,1179.7810051393292,1167.451084506114,1169.0484619140625,5483503
2024-08-29,1167.1017013718215,1177.9840256136065,1161.5108193923618,1173.4913330078125,7290114
2024-08-30,1175.0887109707376,1181.0290002255358,1169.9470495007388,1173.341552734375,10190506
2024-09-02,1174.090365297038,1192.0611361944418,1172.193426216783,1186.86962890625,6432362
2024-09-03,1186.0709091667165,1191.611945748782,1174.789209514189,1189.6650390625,7920246
2024-09-04,1180.7794786378458,1187.7182663255207,1171.3948398901211,1175.78759765625,6527941
2024-09-05,1180.0806533633418,1180.9292487481098,1171.5444882132722,1178.633056640625,4234766
2024-09-06,1174.0902735639158,1179.4315612333492,1148.9312450220928,1156.8682861328125,9874576
2024-09-09,1156.1196208808892,1173.691017341966,1143.1407304910347,1168.94873046875,7700940
2024-09-10,1176.9856459572557,1188.9161919814424,1171.4446096778545,1185.2720947265625,8723854
2024-09-11,1185.2721396072754,1192.90974167789,1179.0822561055998,1184.1739501953125,6000329
2024-09-12,1188.1673904951442,1203.7420335200763,1174.8390937297338,1201.3958740234375,7592871
2024-09-13,1207.9353554818194,1217.56970992086,1199.0497831721539,1215.4730224609375,6762566
2024-09-16,1220.0156723579594,1231.996186325468,1213.0270392102461,1229.051025390625,4039284
2024-09-17,1233.1940625102209,1238.5853176171486,1225.6064288166565,1230.09912109375,8030427
2024-09-18,1229.8996258314878,1248.3695849409576,1223.0108058973215,1238.4356689453125,8210034
2024-09-19,1246.4226697631223,1259.6511538996783,1236.9880637881504,1240.6820068359375,8449864
2024-09-20,1241.9798953627007,1247.970152092746,1227.9028164215117,1242.978271484375,15009629
2024-09-23,1249.4677096230525,1250.4161181847596,1238.5355398977574,1244.775390625,5462814
2024-09-24,1239.084519164076,1245.0747755988766,1233.343856747392,1237.537109375,9225946
2024-09-25,1235.9895545699358,1268.9359643444172,1229.1007354244925,1266.0406494140625,6853324
2024-09-26,1265.49182534745,1279.5689056632127,1260.2003826370533,1275.0262451171875,7270078
2024-09-27,1270.9327387461415,1279.468902904462,1255.2083156233984,1271.08251953125,13372027
2024-09-30,1261.4483202799395,1272.9296465033026,1227.353748903099,1230.1990966796875,8466919
2024-10-01,1226.1056776669482,1240.93153854236,1222.6613288324884,1224.6580810546875,11164280
2024-10-03,1205.5391812805995,1217.1702876110573,1171.1950179115215,1173.790771484375,17300892
2024-10-04,1173.5911350580977,1200.8468520222327,1172.093570870444,1176.4864501953125,13064515
2024-10-07,1181.0289881912613,1182.9259272029717,1129.0635840139234,1143.8394775390625,20047013
2024-10-08,1151.1276845041943,1166.4527338133323,1140.644735078961,1151.42724609375,8464570
2024-10-09,1152.1260787102349,1183.0757394034908,1152.1260787102349,1168.2498779296875,9807734
2024-10-10,1175.0886775236831,1189.0659430167432,1173.1418928645546,1182.326904296875,6806243
2024-10-11,1180.5798722710003,1186.2705679381827,1164.10666475094,1170.546142578125,4754158
2024-10-14,1169.6476098115127,1173.0919587287326,1154.7218134686907,1162.459228515625,9765296
2024-10-15,1164.2064264310386,1170.0968702032376,1147.6334063981412,1151.976318359375,8741516
2024-10-16,1149.1308918352402,1161.0614374890406,1146.2355767689712,1151.3272705078125,7739854
2024-10-17,1149.1310136899726,1149.480420987831,1122.1748561142738,1130.0120849609375,6595231
2024-10-18,1156.1196043283787,1201.8951273274115,1154.1728195466103,1194.906494140625,20829666
2024-10-21,1194.9064782000012,1212.8274033274415,1183.624900757945,1188.3671875,7456038
2024-10-22,1192.3106560712163,1196.0545664419653,1171.4445712304916,1173.8406982421875,7256246
2024-10-23,1173.1918282108495,1181.228805232439,1156.7685887501489,1158.5157470703125,6501834
2024-10-24,1163.1081861826672,1173.2915739137154,1152.77501765838,1165.454345703125,5046700
2024-10-25,1185.07241966283,1199.798467000679,1168.1000261209024,1187.4185791015625,12798716
2024-10-28,1192.061160603629,1192.061160603629,1165.1549712634646,1169.697509765625,8572243
2024-10-29,1174.489747295322,1189.265641444449,1155.7202266058932,1184.9227294921875,9908946
2024-10-30,1176.8359284920803,1185.721500916195,1162.409441362478,1168.49951171875,9686560
2024-10-31,1163.6074036054613,1176.0871054888319,1151.9762970757422,1157.6671142578125,8682294
2024-11-01,1162.1598100627925,1170.5960398098143,1162.1098425062892,1167.65087890625,460781
2024-11-04,1170.0968431979647,1175.0387563721924,1133.6061463101485,1137.4000244140625,9288653
2024-11-05,1137.100423556092,1172.9921178913025,1131.609354942301,1169.7972412109375,11701049
2024-11-06,1169.897154934203,1181.6280740310438,1159.5638648703841,1164.605712890625,10353506
2024-11-07,1166.7023029388229,1170.99536897967,1149.180875253972,1158.0164794921875,6252889
2024-11-08,1154.1227842652258,1165.8537035689599,1149.2307169471244,1159.064697265625,3786168
2024-11-11,1150.1293632578993,1174.8891413546494,1141.0940100494406,1169.0985107421875,6620678
2024-11-12,1169.7474877488462,1185.072537895656,1151.9264971262662,1156.2694091796875,9606088
2024-11-13,1150.029589746679,1163.6074819353837,1133.2568205375103,1137.30029296875,8079113
2024-11-14,1135.7028687904137,1148.8813855767612,1129.7624574145566,1138.84765625,5975873
2024-11-18,1129.3629741553402,1133.156852012231,1119.7287424706979,1124.37109375,9474971
2024-11-19,1128.1649836941745,1137.150368520057,1120.227942513477,1132.1085205078125,19225966
2024-11-21,1136.1521359437722,1150.1294029940473,1113.938265096014,1137.30029296875,8126248
2024-11-22,1134.804259094338,1146.0359906217202,1125.7190606332729,1140.544921875,16687505
2024-11-25,1158.1162668218938,1162.6089592362891,1140.1454971643127,1154.02294921875,12385823
2024-11-26,1155.2209932897363,1157.71693360964,1140.7945069895281,1142.9410400390625,5127437
2024-11-27,1143.3402343897294,1153.5735891768147,1131.7092505928033,1147.7830810546875,5989943
2024-11-28,1146.6350294369997,1152.5753188902968,1127.5660689944857,1130.6610107421875,10731275
2024-11-29,1131.7092996541824,1139.04733976228,1125.868701854105,1134.454833984375,6406277
2024-12-02,1130.8606604334245,1139.5466064002276,1124.7705900554713,1135.2535400390625,4785858
